"","region","subtype","market","coveragetype","price","cluster"
"82218","PACIFIC NORTHWEST","EL HYDRAULIC","MIXED USE BUILDINGS","PLATINUM",395,8
"85268","SOUTH","EL HYDRAULIC","HOSPITAL / HEALTHCARE","GOLD",230,7
"84106","SOUTH","EL HYDRAULIC","OFFICE","GOLD",301,4
"75407","PACIFIC NORTHWEST","EL TR GEARED","PRIVATE RESIDENTIAL - COMFORT","PLATINUM",641.36,2
"14882","CENTRAL","EL MACHINE ROOMLESS","OFFICE","GOLD",385,4
"27009","FLORIDA","EL TR GEARLESS","PRIVATE RESIDENTIAL - PREMIUM","GOLD",650,3
"76556","PACIFIC NORTHWEST","EL HYDRAULIC","MIXED USE BUILDINGS","GOLD",240.03,7
"45814","MIDWEST","EL TR GEARED","EDUCATION / RELIGION","PLATINUM",57003.69,2
"6268","CALIFORNIA","EL HYDRAULIC","EDUCATION / RELIGION","GOLD",205,7
"19609","FLORIDA","EL HYDRAULIC","HOTEL / RESTAURANT","PLATINUM",234.95,5
"21624","FLORIDA","EL HYDRAULIC","EDUCATION / RELIGION","PLATINUM PREMIERE",195,3
"81399","PACIFIC NORTHWEST","EL HYDRAULIC","HOTEL / RESTAURANT","PLATINUM",351.39,8
"37212","MID ATLANTIC","EL TR GEARED","MIXED USE BUILDINGS","PLATINUM",470,2
"27576","FLORIDA","EL HYDRAULIC","HOSPITAL / HEALTHCARE","PLATINUM",200,3
"33824","MID ATLANTIC","EL HYDRAULIC","MIXED USE BUILDINGS","GOLD",196.4,7
"99727","SOUTHEAST","EL HYDRAULIC","PRIVATE RESIDENTIAL - PREMIUM","GOLD",145,1
"10062","CALIFORNIA","EL HY TWIN POST","HOTEL / RESTAURANT","GOLD",193,7
"102525","SOUTHWEST","EL TR GEARED","HOSPITAL / HEALTHCARE","PLATINUM",302.03,6
"88316","SOUTH","EL TR GEARLESS","OFFICE","GOLD",1756.52,2
"14996","CENTRAL","EL MACHINE ROOMLESS","RETAIL","PLATINUM",425,2
"29728","FLORIDA","EL HY MRL","ENTERTAINMENT / LEISURE","PLATINUM",264.36,5
"45076","MIDWEST","EL TR GEARLESS","HOTEL / RESTAURANT","PLATINUM PREMIERE",400,3
"18893","CENTRAL","EL MR GEARED","MIXED USE BUILDINGS","GOLD",1090,7
"92135","SOUTHEAST","EL TR GEARLESS","MIXED USE BUILDINGS","PLATINUM",729.37,8
"58910","MIDWEST","EL TR GEARLESS","OFFICE","PLATINUM",1254.19,2
"61395","NORTHEAST","EL TR GEARED","MIXED USE BUILDINGS","GOLD",650,9
"111196","SOUTHWEST","EL HYDRAULIC","MIXED USE BUILDINGS","PLATINUM",200,8
"60537","NORTHEAST","EL HYDRAULIC","HOSPITAL / HEALTHCARE","GOLD",150,1
"39021","MID ATLANTIC","EL TR GEARED","MIXED USE BUILDINGS","PLATINUM",379.88,8
"102475","SOUTHWEST","EL HYDRAULIC","HOSPITAL / HEALTHCARE","PLATINUM",302.03,6
"30347","FLORIDA","EL HYDRAULIC","HOSPITAL / HEALTHCARE","GOLD",230,3
"39464","MID ATLANTIC","EL HY HOLELESS W/O ROPE","MIXED USE BUILDINGS","PLATINUM",390,8
"98982","SOUTHEAST","EL HYDRAULIC","MIXED USE BUILDINGS","GOLD",150,1
"20656","FLORIDA","EL TR GEARLESS","PRIVATE RESIDENTIAL - PREMIUM","PLATINUM PREMIERE",999.86,3
"69445","NORTHEAST","EL HYDRAULIC","OFFICE","GOLD",270,4
"65530","NORTHEAST","EL HYDRAULIC","MIXED USE BUILDINGS","GOLD",240,7
"83886","SOUTH","EL HYDRAULIC","HOSPITAL / HEALTHCARE","PLATINUM",140,5
"4127","CALIFORNIA","EL TR GEARED","EDUCATION / RELIGION","GOLD",240.29,7
"84994","SOUTH","EL MR MED","HOSPITAL / HEALTHCARE","GOLD",705,6
"80990","PACIFIC NORTHWEST","EL HYDRAULIC","MIXED USE BUILDINGS","GOLD",211,7
"91457","SOUTH","EL HYDRAULIC","HOSPITAL / HEALTHCARE","PLATINUM",180,5
"1301","CALIFORNIA","EL HYDRAULIC","OFFICE","GOLD",175,4
"81147","PACIFIC NORTHWEST","EL HYDRAULIC","EDUCATION / RELIGION","BRONZE",275,5
"48007","MIDWEST","EL HYDRAULIC","EDUCATION / RELIGION","GOLD",155,1
"47436","MIDWEST","EL HYDRAULIC","PRIVATE RESIDENTIAL - COMFORT","GOLD",200,4
"10765","CENTRAL","EL HYDRAULIC","OFFICE","PLATINUM",280.18,8
"76661","PACIFIC NORTHWEST","EL HYDRAULIC","MIXED USE BUILDINGS","PLATINUM",221.24,8
"104451","SOUTHWEST","EL HY IN-GROUND","HOSPITAL / HEALTHCARE","GOLD",234.05,6
"6199","CALIFORNIA","EL HYDRAULIC","EDUCATION / RELIGION","GOLD",185,1
"6176","CALIFORNIA","EL TR GEARED","MIXED USE BUILDINGS","PLATINUM PREMIERE",215,9
"63733","NORTHEAST","EL MR LOW","PRIVATE RESIDENTIAL - COMFORT","GOLD",311,6
"101844","SOUTHEAST","EL HYDRAULIC","HOTEL / RESTAURANT","PLATINUM PREMIERE",187.5,1
"69452","NORTHEAST","EL HY TWIN POST","EDUCATION / RELIGION","GOLD",335,1
"18581","CENTRAL","EL HYDRAULIC","EDUCATION / RELIGION","GOLD",195.41,1
"94591","SOUTHEAST","EL TR GEARED","OFFICE","GOLD",385,6
"80032","PACIFIC NORTHWEST","EL HYDRAULIC","OFFICE","PLATINUM",300,8
"55117","MIDWEST","EL HYDRAULIC","RETAIL","PLATINUM",125,4
"92385","SOUTHEAST","EL HYDRAULIC","OFFICE","PLATINUM",475,2
"113157","SOUTHWEST","EL HYDRAULIC","URBAN MOBILITY","PLATINUM PREMIERE",6518,3
"19071","FLORIDA","EL HYDRAULIC","HOSPITAL / HEALTHCARE","GOLD",193.05,3
"91123","SOUTH","EL HYDRAULIC","MIXED USE BUILDINGS","GOLD",170,7
"96959","SOUTHEAST","EL HYDRAULIC","EDUCATION / RELIGION","PLATINUM",166.67,1
"11368","CENTRAL","EL HYDRAULIC","EDUCATION / RELIGION","GOLD",121.73,1
"109253","SOUTHWEST","EL HYDRAULIC","OFFICE","GOLD",171.18,4
"100067","SOUTHEAST","EL HYDRAULIC","EDUCATION / RELIGION","BRONZE",107.06,1
"99594","SOUTHEAST","EL TR GEARED","HOTEL / RESTAURANT","PLATINUM PREMIERE",530,9
"72650","PACIFIC NORTHWEST","EL TR GEARED","MIXED USE BUILDINGS","PLATINUM PREMIERE",530,9
"18097","CENTRAL","EL TR GEARED","OFFICE","PLATINUM",550,2
"108400","SOUTHWEST","EL HY MRL","EDUCATION / RELIGION","GOLD",210,1
"86033","SOUTH","EL HYDRAULIC","HOTEL / RESTAURANT","PLATINUM PREMIERE",374,3
"83195","SOUTH","EL TR GEARED","EDUCATION / RELIGION","PLATINUM",475,2
"99395","SOUTHEAST","EL HYDRAULIC","HOTEL / RESTAURANT","GOLD",150,1
"4569","CALIFORNIA","EL HYDRAULIC","EDUCATION / RELIGION","GOLD",310,7
"29307","FLORIDA","EL HYDRAULIC","PRIVATE RESIDENTIAL - COMFORT","PLATINUM",200,5
"86340","SOUTH","EL DW GEARED","ENTERTAINMENT / LEISURE","GOLD",900,2
"27322","FLORIDA","EL TR GEARED","HOTEL / RESTAURANT","PLATINUM PREMIERE",190,3
"108489","SOUTHWEST","EL HYDRAULIC","RETAIL","GOLD",120,1
"8383","CALIFORNIA","EL HYDRAULIC","MIXED USE BUILDINGS","PLATINUM",145.01,7
"101053","SOUTHEAST","EL HYDRAULIC","OFFICE","GOLD",162.5,1
"7702","CALIFORNIA","EL HYDRAULIC","EDUCATION / RELIGION","PLATINUM",243,5
"67800","NORTHEAST","EL TR GEARLESS","OFFICE","PLATINUM PREMIERE",679.3,9
"40255","MID ATLANTIC","EL MACHINE ROOMLESS","OFFICE","GOLD",250,4
"42955","MID ATLANTIC","EL HYDRAULIC","EDUCATION / RELIGION","GOLD",530,5
"25040","FLORIDA","EL HYDRAULIC","RETAIL","GOLD",255.2,7
"96156","SOUTHEAST","EL TR GEARLESS","MIXED USE BUILDINGS","PLATINUM",1051.89,8
"17809","CENTRAL","EL HYDRAULIC","HOSPITAL / HEALTHCARE","PLATINUM PREMIERE",448,3
"37250","MID ATLANTIC","EL MACHINE ROOMLESS","EDUCATION / RELIGION","PLATINUM",400,5
"47394","MIDWEST","EL HY MRL","MIXED USE BUILDINGS","GOLD",205,4
"50561","MIDWEST","EL HYDRAULIC","OFFICE","GOLD",190,4
"48653","MIDWEST","EL HYDRAULIC","EDUCATION / RELIGION","GOLD",605.78,4
"93800","SOUTHEAST","EL HYDRAULIC","OFFICE","GOLD",158,1
"50265","MIDWEST","EL TR GEARED","HOSPITAL / HEALTHCARE","PLATINUM PREMIERE",382.32,3
"102353","SOUTHWEST","EL HY TELESCOPIC","EDUCATION / RELIGION","GOLD",200,1
"21921","FLORIDA","EL TR GEARED","HOSPITAL / HEALTHCARE","PLATINUM PREMIERE",508.4,3
"21069","FLORIDA","EL HYDRAULIC","PRIVATE RESIDENTIAL - COMFORT","PLATINUM",215.29,5
"76242","PACIFIC NORTHWEST","EL TR GEARLESS","PARKING GARAGE","PLATINUM",575,8
"86495","SOUTH","EL HY MRL","PRIVATE RESIDENTIAL - COMFORT","GOLD",200,4
"103738","SOUTHWEST","EL HYDRAULIC","OFFICE","GOLD",105,4
"30610","FLORIDA","EL HYDRAULIC","PRIVATE RESIDENTIAL - COMFORT","PLATINUM PREMIERE",260,3
"11752","CENTRAL","EL HYDRAULIC","HOTEL / RESTAURANT","GOLD",195,4
"97815","SOUTHEAST","EL HYDRAULIC","EDUCATION / RELIGION","GOLD",165,1
"77621","PACIFIC NORTHWEST","EL TR GEARED","MIXED USE BUILDINGS","GOLD",408,8
"100499","SOUTHEAST","EL HYDRAULIC","EDUCATION / RELIGION","GOLD",155,1
"32524","MID ATLANTIC","EL TR GEARED","INDUSTRIAL","PLATINUM",350,5
"49270","MIDWEST","EL HY MRL","RETAIL","GOLD",175,4
"73379","PACIFIC NORTHWEST","EL HYDRAULIC","PRIVATE RESIDENTIAL - COMFORT","PLATINUM PREMIERE",343,8
"107504","SOUTHWEST","EL MACHINE ROOMLESS","HOSPITAL / HEALTHCARE","GOLD",520,6
"98300","SOUTHEAST","EL HY MRL","EDUCATION / RELIGION","GOLD",120,1
"91149","SOUTH","EL HYDRAULIC","OFFICE","PLATINUM",218.25,2
"42350","MID ATLANTIC","EL TR GEARED","EDUCATION / RELIGION","PLATINUM",504.07,5
"11608","CENTRAL","EL TR GEARED","OFFICE","PLATINUM",414.29,2
"111613","SOUTHWEST","EL HYDRAULIC","MIXED USE BUILDINGS","GOLD",225.88,7
"58150","MIDWEST","EL HY MRL","EDUCATION / RELIGION","GOLD",155,1
"18053","CENTRAL","EL HYDRAULIC","OFFICE","PLATINUM",120,4
"98288","SOUTHEAST","EL HYDRAULIC","HOSPITAL / HEALTHCARE","GOLD",150,1
"81753","PACIFIC NORTHWEST","EL HYDRAULIC","MIXED USE BUILDINGS","PLATINUM",277.55,8
"63585","NORTHEAST","EL HYDRAULIC","OFFICE","GOLD",345,4
"79274","PACIFIC NORTHWEST","EL HYDRAULIC","EDUCATION / RELIGION","GOLD",81,1
"85438","SOUTH","EL MR MED","OFFICE","PLATINUM PREMIERE",11.25,2
"54524","MIDWEST","EL TR GEARED","OFFICE","GOLD",265,4
"107657","SOUTHWEST","EL HYDRAULIC","HOSPITAL / HEALTHCARE","GOLD",160,6
"29185","FLORIDA","EL HYDRAULIC","MIXED USE BUILDINGS","PLATINUM",180,8
"42412","MID ATLANTIC","EL HYDRAULIC","MIXED USE BUILDINGS","PLATINUM",660.31,8
"87930","SOUTH","EL TR GEARED","HOSPITAL / HEALTHCARE","PLATINUM",435.21,2
"59655","NORTHEAST","EL HYDRAULIC","EDUCATION / RELIGION","GOLD",221.34,1
"110692","SOUTHWEST","EL HYDRAULIC","OFFICE","GOLD",200.62,4
"42279","MID ATLANTIC","EL TR GEARED","EDUCATION / RELIGION","PLATINUM",260,5
"110722","SOUTHWEST","EL HYDRAULIC","OFFICE","GOLD",188.87,4
"8752","CALIFORNIA","EL MR LOW","RAILWAY / BUS STATION","PLATINUM",725,2
"27026","FLORIDA","EL TR GEARLESS","PRIVATE RESIDENTIAL - PREMIUM","GOLD",650,3
"85420","SOUTH","EL MR GEARLESS","PRIVATE RESIDENTIAL - COMFORT","GOLD",625,2
"101206","SOUTHEAST","EL HYDRAULIC","MIXED USE BUILDINGS","PLATINUM PREMIERE",200.3,7
"6285","CALIFORNIA","EL TR GEARED","MIXED USE BUILDINGS","PLATINUM",385.62,8
"74815","PACIFIC NORTHWEST","EL TR GEARED","HOTEL / RESTAURANT","PLATINUM",842.78,2
"35038","MID ATLANTIC","EL HYDRAULIC","OFFICE","PLATINUM PREMIERE",6200,3
"96489","SOUTHEAST","EL MACHINE ROOMLESS","EDUCATION / RELIGION","GOLD",228,1
"38847","MID ATLANTIC","EL HYDRAULIC","EDUCATION / RELIGION","PLATINUM",225,5
"1389","CALIFORNIA","EL HYDRAULIC","EDUCATION / RELIGION","BRONZE",100,1
"62506","NORTHEAST","EL HYDRAULIC","EDUCATION / RELIGION","BRONZE",291.78,5
"87759","SOUTH","EL TR GEARED","OFFICE","PLATINUM",447.57,2
"13536","CENTRAL","EL MACHINE ROOMLESS","OFFICE","PLATINUM PREMIERE",615.82,9
"107371","SOUTHWEST","EL HYDRAULIC","EDUCATION / RELIGION","GOLD",120,1
"104659","SOUTHWEST","EL HYDRAULIC","HOSPITAL / HEALTHCARE","PLATINUM",283,6
"1351","CALIFORNIA","EL HYDRAULIC","MIXED USE BUILDINGS","GOLD",200,7
"74963","PACIFIC NORTHWEST","EL MACHINE ROOMLESS","HOTEL / RESTAURANT","PLATINUM",1534.53,8
"88466","SOUTH","EL HYDRAULIC","EDUCATION / RELIGION","GOLD",210,1
"45429","MIDWEST","EL HY MRL","HOSPITAL / HEALTHCARE","GOLD",125,4
"7484","CALIFORNIA","EL HYDRAULIC","MIXED USE BUILDINGS","PLATINUM",250,7
"111346","SOUTHWEST","EL HYDRAULIC","MIXED USE BUILDINGS","GOLD",190,7
"38016","MID ATLANTIC","EL HYDRAULIC","MIXED USE BUILDINGS","PLATINUM",600,8
"42905","MID ATLANTIC","EL HY MRL","ENTERTAINMENT / LEISURE","PLATINUM",275,5
"22893","FLORIDA","EL TR GEARLESS","PRIVATE RESIDENTIAL - PREMIUM","PLATINUM",612.24,2
"44578","MIDWEST","EL HYDRAULIC","HOSPITAL / HEALTHCARE","PLATINUM",217.23,5
"25890","FLORIDA","EL HYDRAULIC","RETAIL","GOLD",187.41,4
"2884","CALIFORNIA","EL HYDRAULIC","MIXED USE BUILDINGS","PLATINUM PREMIERE",235,7
"36798","MID ATLANTIC","EL HYDRAULIC","EDUCATION / RELIGION","PLATINUM PREMIERE",265,5
"60703","NORTHEAST","EL HYDRAULIC","HOSPITAL / HEALTHCARE","PLATINUM",250,5
"39340","MID ATLANTIC","EL MR GEARLESS","OFFICE","PLATINUM",489.31,2
"88535","SOUTH","EL TR GEARED","HOSPITAL / HEALTHCARE","GOLD",700,6
"25573","FLORIDA","EL HY TWIN POST","MIXED USE BUILDINGS","PLATINUM",336,8
"48365","MIDWEST","EL MR LOW","EDUCATION / RELIGION","GOLD",295,4
"35226","MID ATLANTIC","EL TR GEARED","MIXED USE BUILDINGS","PLATINUM",385,8
"72074","PACIFIC NORTHWEST","EL HYDRAULIC","EDUCATION / RELIGION","BRONZE",140,1
"23787","FLORIDA","EL TR GEARLESS","EDUCATION / RELIGION","PLATINUM PREMIERE",292.67,3
"25478","FLORIDA","EL TR GEARED","PARKING GARAGE","PLATINUM",481,2
"50264","MIDWEST","EL TR GEARED","HOSPITAL / HEALTHCARE","PLATINUM PREMIERE",382.32,3
"86254","SOUTH","EL HYDRAULIC","HOTEL / RESTAURANT","PLATINUM PREMIERE",275,3
"12007","CENTRAL","EL HYDRAULIC","HOTEL / RESTAURANT","GOLD",205,4
"100883","SOUTHEAST","EL MR LOW","PRIVATE RESIDENTIAL - COMFORT","PLATINUM PREMIERE",395,3
"102002","SOUTHEAST","EL HYDRAULIC","EDUCATION / RELIGION","PLATINUM PREMIERE",241.8,1
"96139","SOUTHEAST","EL HYDRAULIC","MIXED USE BUILDINGS","PLATINUM",1051.89,8
"87844","SOUTH","EL HYDRAULIC","OFFICE","PLATINUM",225,2
"24112","FLORIDA","EL HYDRAULIC","PRIVATE RESIDENTIAL - COMFORT","PLATINUM PREMIERE",254.02,3
"92139","SOUTHEAST","EL TR GEARLESS","MIXED USE BUILDINGS","PLATINUM PREMIERE",729.37,9
"9672","CALIFORNIA","EL HYDRAULIC","EDUCATION / RELIGION","GOLD",200,7
"98910","SOUTHEAST","EL HYDRAULIC","HOTEL / RESTAURANT","PLATINUM PREMIERE",275,3
"61278","NORTHEAST","EL HYDRAULIC","MIXED USE BUILDINGS","PLATINUM",280,8
"37274","MID ATLANTIC","EL MACHINE ROOMLESS","HOSPITAL / HEALTHCARE","GOLD",390,6
"81121","PACIFIC NORTHWEST","EL HY IN-GROUND","OFFICE","BRONZE",240,4
"3287","CALIFORNIA","EL HYDRAULIC","MIXED USE BUILDINGS","PLATINUM",9683,8
"45775","MIDWEST","EL TR GEARED","EDUCATION / RELIGION","PLATINUM",57003.69,2
"10933","CENTRAL","EL HYDRAULIC","HOSPITAL / HEALTHCARE","PLATINUM",206,5
"81689","PACIFIC NORTHWEST","EL HYDRAULIC","MIXED USE BUILDINGS","PLATINUM",285,8
"28060","FLORIDA","EL HYDRAULIC","EDUCATION / RELIGION","PLATINUM",120,5
"53581","MIDWEST","EL TR GEARLESS","OFFICE","PLATINUM",297,4
"30558","FLORIDA","EL HYDRAULIC","OFFICE","PLATINUM PREMIERE",200,3
"109711","SOUTHWEST","EL HYDRAULIC","OFFICE","PLATINUM PREMIERE",185,4
"30092","FLORIDA","EL HYDRAULIC","PRIVATE RESIDENTIAL - COMFORT","PLATINUM PREMIERE",275,3
"84477","SOUTH","EL TR GEARED","OFFICE","PLATINUM",506.22,2
"90329","SOUTH","EL TR GEARED","HOSPITAL / HEALTHCARE","PLATINUM PREMIERE",2169.16,9
"66019","NORTHEAST","EL HYDRAULIC","EDUCATION / RELIGION","GOLD",225,1
"41282","MID ATLANTIC","EL HYDRAULIC","MIXED USE BUILDINGS","PLATINUM",225,5
"28362","FLORIDA","EL TR GEARED","MIXED USE BUILDINGS","PLATINUM",291.2,8
"37914","MID ATLANTIC","EL TR GEARLESS","MIXED USE BUILDINGS","PLATINUM PREMIERE",611.19,9
"53","CALIFORNIA","EL HYDRAULIC","MIXED USE BUILDINGS","GOLD",208,7
"50902","MIDWEST","EL HYDRAULIC","OFFICE","PLATINUM",711,4
"60782","NORTHEAST","EL HYDRAULIC","OFFICE","PLATINUM PREMIERE",280,3
"57895","MIDWEST","EL HY MRL","HOSPITAL / HEALTHCARE","GOLD",280,6
"110477","SOUTHWEST","EL TR GEARED","EDUCATION / RELIGION","PLATINUM",257,5
"73078","PACIFIC NORTHWEST","EL HYDRAULIC","MIXED USE BUILDINGS","GOLD",200,7
"22191","FLORIDA","EL HYDRAULIC","OFFICE","PLATINUM",858.08,2
"85763","SOUTH","EL HY IN-GROUND","HOSPITAL / HEALTHCARE","PLATINUM PREMIERE",2169.16,3
"53977","MIDWEST","EL TR GEARED","HOSPITAL / HEALTHCARE","PLATINUM",240,6
"7877","CALIFORNIA","EL HYDRAULIC","OFFICE","PLATINUM",224.74,7
"94504","SOUTHEAST","EL HY TWIN POST","OFFICE","GOLD",225,4
"108547","SOUTHWEST","EL HYDRAULIC","EDUCATION / RELIGION","GOLD",189,1
"83210","SOUTH","EL HYDRAULIC","MIXED USE BUILDINGS","GOLD",198,7
"70560","NORTHEAST","EL HYDRAULIC","MIXED USE BUILDINGS","PLATINUM PREMIERE",350,9
"87370","SOUTH","EL MR HIGH","PRIVATE RESIDENTIAL - PREMIUM","PLATINUM",403,2
"18707","CENTRAL","EL TR GEARED","HOSPITAL / HEALTHCARE","PLATINUM",215.27,6
"25016","FLORIDA","EL HYDRAULIC","MIXED USE BUILDINGS","GOLD",296.04,7
"7998","CALIFORNIA","EL HY TWIN POST","INDUSTRIAL","GOLD",170,7
"49144","MIDWEST","EL TR GEARED","EDUCATION / RELIGION","GOLD",273.51,6
"37500","MID ATLANTIC","EL HYDRAULIC","OFFICE","PLATINUM PREMIERE",242,5
"99438","SOUTHEAST","EL HYDRAULIC","HOTEL / RESTAURANT","GOLD",165,1
"57072","MIDWEST","EL HYDRAULIC","MIXED USE BUILDINGS","GOLD",215,7
"87607","SOUTH","EL HYDRAULIC","OFFICE","GOLD",205,4
"326","CALIFORNIA","EL HYDRAULIC","OFFICE","GOLD",233.57,7
"31929","MID ATLANTIC","EL TR GEARED","HOSPITAL / HEALTHCARE","GOLD",365.17,6
"26030","FLORIDA","EL MR GEARED","EDUCATION / RELIGION","PLATINUM PREMIERE",373.86,3
"68651","NORTHEAST","EL HYDRAULIC","EDUCATION / RELIGION","GOLD",505,1
"92689","SOUTHEAST","EL TR GEARED","OFFICE","PLATINUM",389.74,2
"25423","FLORIDA","EL HYDRAULIC","OFFICE","GOLD",286.83,4
"78570","PACIFIC NORTHWEST","EL HYDRAULIC","MIXED USE BUILDINGS","PLATINUM PREMIERE",393,8
"70616","NORTHEAST","EL HYDRAULIC","MIXED USE BUILDINGS","PLATINUM",371.68,8
"48408","MIDWEST","EL HY IN-GROUND","OFFICE","PLATINUM",190,4
"7779","CALIFORNIA","EL HYDRAULIC","EDUCATION / RELIGION","PLATINUM",140,5
"10217","CENTRAL","EL HYDRAULIC","EDUCATION / RELIGION","PLATINUM",165,5
"89154","SOUTH","EL HY MRL","HOTEL / RESTAURANT","PLATINUM PREMIERE",275,3
"7986","CALIFORNIA","EL HYDRAULIC","OFFICE","GOLD",200,4
"86796","SOUTH","EL TR GEARLESS","OFFICE","PLATINUM",45001,2
"30657","FLORIDA","EL HYDRAULIC","PRIVATE RESIDENTIAL - COMFORT","PLATINUM PREMIERE",197,3
"436","CALIFORNIA","EL HYDRAULIC","MIXED USE BUILDINGS","GOLD",220,7
"42494","MID ATLANTIC","EL TR GEARLESS","EDUCATION / RELIGION","PLATINUM",5200,5
"53576","MIDWEST","EL TR GEARLESS","OFFICE","PLATINUM",297,4
"46534","MIDWEST","EL TR GEARED","EDUCATION / RELIGION","GOLD",291.11,6
"100866","SOUTHEAST","EL HYDRAULIC","HOSPITAL / HEALTHCARE","PLATINUM",345.2,8
"16318","CENTRAL","EL HYDRAULIC","HOTEL / RESTAURANT","PLATINUM PREMIERE",312,3
"57483","MIDWEST","EL HYDRAULIC","MIXED USE BUILDINGS","GOLD",230,7
"9625","CALIFORNIA","EL HY TELESCOPIC","HOSPITAL / HEALTHCARE","GOLD",260.51,6
"31140","FLORIDA","EL HYDRAULIC","OFFICE","PLATINUM PREMIERE",200,3
"61583","NORTHEAST","EL TR GEARED","MIXED USE BUILDINGS","PLATINUM PREMIERE",452.29,9
"101449","SOUTHEAST","EL TR GEARED","EDUCATION / RELIGION","PLATINUM PREMIERE",200.3,1
"64909","NORTHEAST","EL HYDRAULIC","MIXED USE BUILDINGS","GOLD",326,7
"77284","PACIFIC NORTHWEST","EL TR GEARED","EDUCATION / RELIGION","PLATINUM",192,5
"99107","SOUTHEAST","EL HYDRAULIC","HOTEL / RESTAURANT","PLATINUM",400,8
"36369","MID ATLANTIC","EL HYDRAULIC","EDUCATION / RELIGION","PLATINUM",290,5
"36447","MID ATLANTIC","EL HYDRAULIC","EDUCATION / RELIGION","PLATINUM",299.29,5
"59908","NORTHEAST","EL HYDRAULIC","OFFICE","PLATINUM",171,4
"57807","MIDWEST","EL HYDRAULIC","HOSPITAL / HEALTHCARE","PLATINUM",475,8
"53701","MIDWEST","EL HY MRL","ENTERTAINMENT / LEISURE","GOLD",194,4
"21806","FLORIDA","EL TR GEARED","MIXED USE BUILDINGS","PLATINUM PREMIERE",506,9
"56929","MIDWEST","EL HYDRAULIC","OFFICE","PLATINUM",370,4
"86535","SOUTH","EL HYDRAULIC","ENTERTAINMENT / LEISURE","GOLD",184.3,4
"78273","PACIFIC NORTHWEST","EL MR BELTED","OFFICE","BRONZE",225,4
"12949","CENTRAL","EL TR GEARED","OFFICE","PLATINUM",260,2
"112050","SOUTHWEST","EL HYDRAULIC","MIXED USE BUILDINGS","PLATINUM PREMIERE",233,7
"39618","MID ATLANTIC","EL HYDRAULIC","EDUCATION / RELIGION","PLATINUM",200,5
"75","CALIFORNIA","EL HYDRAULIC","MIXED USE BUILDINGS","GOLD",208,7
"65930","NORTHEAST","EL TR GEARED","HOSPITAL / HEALTHCARE","PLATINUM PREMIERE",708,9
"12370","CENTRAL","EL TR GEARLESS","OFFICE","PLATINUM PREMIERE",650,9
"103157","SOUTHWEST","EL TR GEARLESS","HOSPITAL / HEALTHCARE","GOLD",214,6
"22113","FLORIDA","EL HYDRAULIC","MIXED USE BUILDINGS","GOLD",150,7
"55544","MIDWEST","EL HYDRAULIC","HOSPITAL / HEALTHCARE","PLATINUM PREMIERE",143,3
"24511","FLORIDA","EL HYDRAULIC","EDUCATION / RELIGION","GOLD",435.53,1
"27543","FLORIDA","EL TR GEARED","PRIVATE RESIDENTIAL - COMFORT","PLATINUM PREMIERE",368.76,3
"91421","SOUTH","EL TR GEARED","MIXED USE BUILDINGS","PLATINUM",403,2
"109604","SOUTHWEST","EL HYDRAULIC","OFFICE","PLATINUM",399,8
"87726","SOUTH","EL TR GEARLESS","OFFICE","PLATINUM",900,2
"22769","FLORIDA","EL HYDRAULIC","HOTEL / RESTAURANT","PLATINUM",146.05,5
"96117","SOUTHEAST","EL HYDRAULIC","HOSPITAL / HEALTHCARE","GOLD",140,1
"93458","SOUTHEAST","EL MACHINE ROOMLESS","PRIVATE RESIDENTIAL - PREMIUM","PLATINUM PREMIERE",510,9
"13369","CENTRAL","EL HYDRAULIC","RETAIL","PLATINUM PREMIERE",292,3
"11286","CENTRAL","EL HY MRL","RETAIL","GOLD",195,4
"93821","SOUTHEAST","EL HYDRAULIC","OFFICE","GOLD",210,4
"106997","SOUTHWEST","EL HYDRAULIC","EDUCATION / RELIGION","GOLD",126.84,1
"28505","FLORIDA","EL HYDRAULIC","OFFICE","GOLD",150,4
"52159","MIDWEST","EL HYDRAULIC","EDUCATION / RELIGION","GOLD",89.89,1
"107732","SOUTHWEST","EL HYDRAULIC","HOTEL / RESTAURANT","GOLD",200,4
"47681","MIDWEST","EL HOMELIFT","EDUCATION / RELIGION","BRONZE",170,1
"112793","SOUTHWEST","EL HYDRAULIC","INDUSTRIAL","GOLD",315.84,6
"38532","MID ATLANTIC","EL TR GEARLESS","OFFICE","PLATINUM",-1271.6,5
"42602","MID ATLANTIC","EL HYDRAULIC","HOSPITAL / HEALTHCARE","PLATINUM",640,5
"74109","PACIFIC NORTHWEST","EL HY TWIN POST","EDUCATION / RELIGION","PLATINUM PREMIERE",186.22,5
"110128","SOUTHWEST","EL HYDRAULIC","EDUCATION / RELIGION","PLATINUM",225,5
"17641","CENTRAL","EL HYDRAULIC","OFFICE","GOLD",250,4
"12061","CENTRAL","EL HYDRAULIC","INDUSTRIAL","BRONZE",67.15,1
"59882","NORTHEAST","EL TR GEARED","EDUCATION / RELIGION","BRONZE",144,9
"87077","SOUTH","EL TR GEARLESS","OFFICE","PLATINUM",36063.06,2
"57816","MIDWEST","EL HYDRAULIC","HOSPITAL / HEALTHCARE","PLATINUM",475,8
"104145","SOUTHWEST","EL HYDRAULIC","OFFICE","GOLD",150,4
"106462","SOUTHWEST","EL HYDRAULIC","HOTEL / RESTAURANT","GOLD",232.38,7
