"","region","subtype","market","coveragetype","price","cluster"
"81570","PACIFIC NORTHWEST","EL HYDRAULIC","EDUCATION / RELIGION","PLATINUM",208,5
"43555","MID ATLANTIC","EL HYDRAULIC","EDUCATION / RELIGION","PLATINUM PREMIERE",129,5
"97301","SOUTHEAST","PL HY SCISSORS","MIXED USE BUILDINGS","GOLD",229.91,7
"24688","FLORIDA","EL HYDRAULIC","HOSPITAL / HEALTHCARE","PLATINUM",200,3
"74347","PACIFIC NORTHWEST","EL TR GEARED","MIXED USE BUILDINGS","PLATINUM",650,8
"93126","SOUTHEAST","EL HYDRAULIC","MIXED USE BUILDINGS","GOLD",115,1
"61044","NORTHEAST","EL TR GEARED","MIXED USE BUILDINGS","PLATINUM",408.86,9
"78162","PACIFIC NORTHWEST","EL HY MRL","HOSPITAL / HEALTHCARE","PLATINUM",325,8
"7604","CALIFORNIA","EL HYDRAULIC","EDUCATION / RELIGION","PLATINUM",292,5
"98551","SOUTHEAST","EL HYDRAULIC","EDUCATION / RELIGION","GOLD",68.8,1
"47561","MIDWEST","EL HYDRAULIC","INDUSTRIAL","BRONZE",150,4
"637","CALIFORNIA","EL HYDRAULIC","MIXED USE BUILDINGS","PLATINUM PREMIERE",400,7
"4702","CALIFORNIA","EL HYDRAULIC","OFFICE","BRONZE",95,4
"79911","PACIFIC NORTHWEST","EL HYDRAULIC","EDUCATION / RELIGION","GOLD",275,1
"48707","MIDWEST","EL HYDRAULIC","EDUCATION / RELIGION","GOLD",605.78,4
"77266","PACIFIC NORTHWEST","EL MR MED","OFFICE","PLATINUM",192,8
"59808","NORTHEAST","EL TR GEARED","OFFICE","BRONZE",64,2
"55874","MIDWEST","EL HYDRAULIC","HOSPITAL / HEALTHCARE","GOLD",172.2,4
"106755","SOUTHWEST","EL HYDRAULIC","EDUCATION / RELIGION","PLATINUM",196.45,5
"107034","SOUTHWEST","EL HOMELIFT","EDUCATION / RELIGION","PLATINUM",109.43,5
"107840","SOUTHWEST","EL HYDRAULIC","PRIVATE RESIDENTIAL - COMFORT","GOLD",156.67,1
"87107","SOUTH","EL TR GEARLESS","OFFICE","PLATINUM",25044.12,2
"37643","MID ATLANTIC","EL HYDRAULIC","EDUCATION / RELIGION","PLATINUM",130,5
"50578","MIDWEST","EL HYDRAULIC","HOTEL / RESTAURANT","PLATINUM PREMIERE",190,4
"42592","MID ATLANTIC","EL HYDRAULIC","OFFICE","BRONZE",65,4
"80791","PACIFIC NORTHWEST","EL HY TELESCOPIC","INDUSTRIAL","GOLD",283.17,6
"40851","MID ATLANTIC","EL HYDRAULIC","HOSPITAL / HEALTHCARE","PLATINUM",300,5
"61337","NORTHEAST","EL HYDRAULIC","MIXED USE BUILDINGS","GOLD",215,7
"21372","FLORIDA","EL TR GEARED","HOSPITAL / HEALTHCARE","PLATINUM PREMIERE",400,3
"63943","NORTHEAST","EL HYDRAULIC","MIXED USE BUILDINGS","GOLD",215,7
"48764","MIDWEST","EL TR GEARED","EDUCATION / RELIGION","GOLD",605.78,6
"85579","SOUTH","EL TR GEARED","OFFICE","BRONZE",150,2
"103335","SOUTHWEST","EL HYDRAULIC","EDUCATION / RELIGION","GOLD",125,1
"75619","PACIFIC NORTHWEST","EL HYDRAULIC","PARKING GARAGE","GOLD",350,8
"97665","SOUTHEAST","EL TR GEARED","OFFICE","GOLD",400,2
"75500","PACIFIC NORTHWEST","EL TR GEARED","OFFICE","GOLD",128,4
"2799","CALIFORNIA","EL HY TWIN POST","HOSPITAL / HEALTHCARE","GOLD",225,7
"61065","NORTHEAST","EL HYDRAULIC","HOTEL / RESTAURANT","BRONZE",99.34,1
"109341","SOUTHWEST","EL TR GEARED","HOSPITAL / HEALTHCARE","PLATINUM PREMIERE",642.61,6
"78352","PACIFIC NORTHWEST","EL HY IN-GROUND","EDUCATION / RELIGION","GOLD",52,1
"95720","SOUTHEAST","EL HYDRAULIC","OFFICE","PLATINUM",200,4
"23089","FLORIDA","EL HYDRAULIC","MIXED USE BUILDINGS","PLATINUM PREMIERE",339,3
"39861","MID ATLANTIC","EL HYDRAULIC","MIXED USE BUILDINGS","PLATINUM",200,5
"89372","SOUTH","EL TR GEARED","OFFICE","GOLD",369.01,2
"101615","SOUTHEAST","EL HYDRAULIC","HOSPITAL / HEALTHCARE","GOLD",150,1
"95627","SOUTHEAST","EL HYDRAULIC","EDUCATION / RELIGION","GOLD",154.92,1
"23165","FLORIDA","EL TR GEARLESS","PRIVATE RESIDENTIAL - PREMIUM","PLATINUM PREMIERE",1243.35,3
"54913","MIDWEST","EL HYDRAULIC","MIXED USE BUILDINGS","PLATINUM",325,8
"20774","FLORIDA","EL HYDRAULIC","PRIVATE RESIDENTIAL - COMFORT","PLATINUM PREMIERE",235,3
"12054","CENTRAL","EL HYDRAULIC","INDUSTRIAL","BRONZE",67.15,1
"63644","NORTHEAST","EL HYDRAULIC","MIXED USE BUILDINGS","PLATINUM PREMIERE",250,9
"87400","SOUTH","EL HYDRAULIC","OFFICE","GOLD",205,4
"64622","NORTHEAST","EL HYDRAULIC","HOSPITAL / HEALTHCARE","PLATINUM",250,5
"27324","FLORIDA","EL HY IN-GROUND","ENTERTAINMENT / LEISURE","PLATINUM PREMIERE",200,3
"3386","CALIFORNIA","EL HYDRAULIC","HOSPITAL / HEALTHCARE","GOLD",300,7
"68550","NORTHEAST","EL TR GEARED","MIXED USE BUILDINGS","GOLD",525,9
"60100","NORTHEAST","EL TR GEARED","HOSPITAL / HEALTHCARE","GOLD",240,6
"95779","SOUTHEAST","EL TR GEARED","OFFICE","PLATINUM",795.2,2
"111738","SOUTHWEST","EL HYDRAULIC","MIXED USE BUILDINGS","GOLD",200,7
"21521","FLORIDA","EL HYDRAULIC","PRIVATE RESIDENTIAL - PREMIUM","GOLD",180,4
"42261","MID ATLANTIC","EL HYDRAULIC","EDUCATION / RELIGION","GOLD",199.34,5
"6350","CALIFORNIA","EL HYDRAULIC","EDUCATION / RELIGION","PLATINUM",16400,5
"89016","SOUTH","EL HY MRL","OFFICE","BRONZE",100,2
"79628","PACIFIC NORTHWEST","EL TR GEARED","MIXED USE BUILDINGS","GOLD",353.19,8
"47451","MIDWEST","EL HYDRAULIC","HOSPITAL / HEALTHCARE","PLATINUM PREMIERE",235,3
"48545","MIDWEST","EL HYDRAULIC","EDUCATION / RELIGION","GOLD",605.78,4
"64903","NORTHEAST","EL HYDRAULIC","EDUCATION / RELIGION","GOLD",175,1
"112214","SOUTHWEST","EL HYDRAULIC","RETAIL","BRONZE",73,1
"96175","SOUTHEAST","EL TR GEARLESS","MIXED USE BUILDINGS","PLATINUM",1051.89,8
"2001","CALIFORNIA","EL HYDRAULIC","MIXED USE BUILDINGS","PLATINUM",247,7
"31728","FLORIDA","EL HYDRAULIC","MIXED USE BUILDINGS","GOLD",200,7
"18249","CENTRAL","EL HYDRAULIC","INDUSTRIAL","BRONZE",700,8
"92762","SOUTHEAST","EL TR GEARLESS","HOSPITAL / HEALTHCARE","PLATINUM PREMIERE",450,3
"71707","NORTHEAST","EL HYDRAULIC","EDUCATION / RELIGION","GOLD",248,1
"80298","PACIFIC NORTHWEST","EL HYDRAULIC","MIXED USE BUILDINGS","GOLD",230,7
"33765","MID ATLANTIC","EL HYDRAULIC","INDUSTRIAL","GOLD",210,5
"60430","NORTHEAST","EL HYDRAULIC","OFFICE","PLATINUM PREMIERE",247,4
"111572","SOUTHWEST","EL HYDRAULIC","MIXED USE BUILDINGS","PLATINUM PREMIERE",294.23,3
"9613","CALIFORNIA","EL HY TELESCOPIC","HOSPITAL / HEALTHCARE","GOLD",260.51,6
"68534","NORTHEAST","EL HYDRAULIC","MIXED USE BUILDINGS","GOLD",300,7
